"","month","year","day_status","avg_wind"
"420",12,1989,"night",51.2258064516129
"421",12,1990,"day",46.9193548387097
"422",12,1990,"night",50.4435483870968
"423",12,1991,"day",49.5161290322581
"424",12,1991,"night",49.2822580645161
"425",12,1992,"day",46.3978494623656
"426",12,1992,"night",46.997311827957
"427",12,1993,"day",38.5322580645161
"428",12,1993,"night",41.239247311828
"429",12,1994,"day",44.7365591397849
"430",12,1994,"night",44.9623655913978
"431",12,1995,"day",42.3467741935484
"432",12,1995,"night",45.1263440860215
"433",12,1996,"day",38.6801075268817
"434",12,1996,"night",41.1209677419355
"435",12,1997,"day",44.3413978494624
"436",12,1997,"night",45.6666666666667
"437",12,1998,"day",46.5268817204301
"438",12,1998,"night",45.7876344086022
"439",12,1999,"day",39.755376344086
"440",12,1999,"night",42.1854838709677
"441",12,2000,"day",44.505376344086
"442",12,2000,"night",45.8279569892473
"443",12,2001,"day",37.9247311827957
"444",12,2001,"night",39.5994623655914
"445",12,2002,"day",44.505376344086
"446",12,2002,"night",45.9811827956989
"447",12,2003,"day",49.1951219512195
"448",12,2003,"night",49.6263736263736
"449",12,2004,"day",42.6908602150538
"450",12,2004,"night",43.4193548387097
"451",12,2005,"day",40.5594594594595
"452",12,2005,"night",41.0645161290323
"453",12,2006,"day",46.7231182795699
"454",12,2006,"night",50.0672043010753
"455",12,2007,"day",44.8978494623656
"456",12,2007,"night",45.005376344086
"457",12,2008,"day",50.1263440860215
"458",12,2008,"night",49.8198924731183
"459",12,2009,"day",44.7365591397849
"460",12,2009,"night",45.8548387096774
"461",12,2010,"day",30.0483870967742
"462",12,2010,"night",30.1478494623656
"463",12,2011,"day",45.6370967741936
"464",12,2011,"night",44.0994623655914
"465",12,2012,"day",42.9408602150538
"466",12,2012,"night",43.2177419354839
"467",12,2013,"day",46.2876344086022
"468",12,2013,"night",45.2849462365591
"469",12,2014,"day",38.9381720430108
"470",12,2014,"night",41.0403225806452
"471",12,2015,"day",40.3763440860215
"472",12,2015,"night",43.1290322580645
"473",12,2016,"day",49.0725806451613
"474",12,2016,"night",49.1021505376344
"475",12,2017,"day",44.7069892473118
"476",12,2017,"night",43.3575268817204
"477",12,2018,"day",45.0161290322581
"478",12,2018,"night",44.6397849462366
"479",12,2019,"day",42.1639784946237
"480",12,2019,"night",47.5967741935484
"481",12,2020,"day",41.6129032258064
"482",12,2020,"night",43.7795698924731
"483",12,2021,"day",46.0188172043011
"484",12,2021,"night",48.4677419354839
"485",12,2022,"day",46.6777777777778
"486",12,2022,"night",45.3305555555556
